OSEBuildingID,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,TotalGHGEmissions_log,GFA_per_floor,Parking_ratio,Building_age_squared,Is_old_building,Size_floors,Age_size,Age_floors,GFA_sqrt,Floors_squared,Neighborhood_mean,Neighborhood_std,PrimaryPropertyType_mean,PrimaryPropertyType_std
23701.0,NonResidential,Warehouse,1136 S. Albro Place,GREATER DUWAMISH,47.5465,-122.31704,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,28000.0,Office,4000.0,73.0,0.0,575815.125,0.0,13.7,2.6878474937846906,31899.968100031903,0.0,2809,1,31900.0,1690700.0,53.0,178.60571099491753,1.0,3.5021939623231493,1.2671561408877454,3.105404464515096,1.1998106393931918
401.0,NonResidential,Hotel,1325 6th Ave,DOWNTOWN,47.60968,-122.33379,Hotel,Hotel,310000.0,Parking,11745.0,58.0,845964.4437500031,4272584.5,28667.04883,564.2850000000001,6.337327980655664,24542.006060882963,0.0,7396,1,3804072.600000013,26277128.0,1070.7000000000037,552.7639640931742,155.00250000000108,4.33905242153749,1.3718571608439065,5.200314767144004,1.0251480911591004
238.0,Nonresidential COS,Small- and Mid-Sized Office,1300 N 97th ST,NORTHWEST,47.70044,-122.34136,"Data Center, Distribution Center, Office, Other, Parking",Office,57968.0,Distribution Center,32881.0,73.0,0.0,2079127.75,23783.73047,175.77,5.174849452547792,45564.97721751139,0.0,3481,1,182260.0,5376670.0,118.0,301.8774585821207,4.0,3.974065390603938,1.308375369217394,3.297269669658814,0.9073490338149458
600.0,NonResidential,Warehouse,4100 4th Avenue South,GREATER DUWAMISH,47.56558,-122.32889,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,98480.0,Parking,11745.0,65.0,0.0,704380.6875,4282.180176,39.5,3.701301974112493,98479.90152009849,0.0,3600,1,98480.0,5908800.0,60.0,313.81523226255285,1.0,3.5021939623231493,1.2671561408877454,3.105404464515096,1.1998106393931918
21336.0,NonResidential,Other,1004 Boren Ave,EAST,47.6097,-122.325,Social/Meeting Hall,Social/Meeting Hall,20411.0,Parking,11745.0,73.0,0.0,227122.7031,12395.33008,71.23,4.279855472062756,7012.730995756335,0.0,10816,1,63114.600000000006,2187972.8000000003,312.0,145.04551009941673,9.0,4.224068175692096,1.3596665755260893,4.282175547469136,1.3053288873026805
27982.0,NonResidential,Small- and Mid-Sized Office,9620 Stone Ave N,NORTHWEST,47.69898,-122.34162,"Non-Refrigerated Warehouse, Office, Parking",Office,14317.0,Non-Refrigerated Warehouse,7850.0,77.0,0.0,163329.0,3970.73999,24.97,3.256942025674657,8370.330543223152,0.0,1156,0,75333.0,853774.0,102.0,158.4645070670401,9.0,3.974065390603938,1.308375369217394,3.297269669658814,0.9073490338149458
25148.0,NonResidential,Small- and Mid-Sized Office,4714 Rainier Ave S,SOUTHEAST,47.56029,-122.2884125,Office,Office,22014.0,Parking,11745.0,55.0,0.0,265016.4063,0.0,6.3,1.9878743481543453,11624.994187502905,0.0,2401,0,46500.0,1139250.0,98.0,152.47950681976906,4.0,3.8364002036202964,1.1819283182974878,3.297269669658814,0.9073490338149458
444.0,NonResidential,Warehouse,651 S Alaska St,GREATER DUWAMISH,47.56064,-122.32522,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,123061.0,Parking,11745.0,59.0,0.0,582630.1875,0.0,13.86,2.698673039289613,123060.87693912307,0.0,225,0,123061.0,1845915.0,15.0,350.8005131125096,1.0,3.5021939623231493,1.2671561408877454,3.105404464515096,1.1998106393931918
318.0,NonResidential,Mixed Use Property,1001 Alaskan Way,DOWNTOWN,47.6041,-122.33958,"Other, Restaurant, Retail Store",Restaurant,32494.0,Other,29793.0,73.0,0.0,1110179.625,65448.83886650005,377.27,5.935608226353245,62899.9371000629,0.0,12100,1,62900.0,6919000.0,110.0,250.79872407968904,1.0,4.33905242153749,1.3718571608439065,4.02240740070352,1.4535352529774157
449.0,NonResidential,Large Office,1551 Eastlake Ave E,LAKE UNION,47.63349,-122.32634,"Laboratory, Office, Parking",Office,125779.0,Parking,32821.0,19.0,0.0,4672048.0,23681.20117,236.9,5.471850417308912,52866.649044450314,0.2421185371989778,2916,1,475800.0,8564400.0,162.0,398.24615503479754,9.0,4.1935172859006355,1.3505221170910435,4.929536101732507,0.8692448643013228
811.0,NonResidential,Warehouse,3849 1st Ave S.,GREATER DUWAMISH,47.56733,-122.3352,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,178087.0,Parking,11745.0,57.0,0.0,1013933.875,0.0,24.12,3.223664341599998,179412.82058717942,0.0,4900,1,179413.0,12558910.0,70.0,423.5717176582969,1.0,3.5021939623231493,1.2671561408877454,3.105404464515096,1.1998106393931918
123.65,NonResidential,Hotel,900 Madison St.,EAST,47.60898,-122.32693,Hotel,Hotel,76631.0,Parking,11745.0,71.0,0.0,779819.0,45980.16016,262.75,5.575001684790276,10947.284150387979,0.0,11664,1,536417.0,8276148.0,756.0,276.82304817337734,49.0,4.224068175692096,1.3596665755260893,5.200314767144004,1.0251480911591004
21179.0,NonResidential,Small- and Mid-Sized Office,2 Nickerson,MAGNOLIA / QUEEN ANNE,47.64976,-122.35684,Office,Office,25262.0,Parking,11745.0,54.0,0.0,344277.3125,2948.820068,23.85,3.2128577525426376,8420.663859778713,0.0,1369,0,75786.0,934694.0,111.0,158.94024034208581,9.0,3.935323358003718,1.285361666288839,3.297269669658814,0.9073490338149458
49701.7,Nonresidential COS,Other,1400 E Galer St,EAST,47.63228,-122.31574,Other - Recreation,Other - Recreation,23445.0,Parking,11745.0,73.0,0.0,369539.8125,47153.75781,259.22,5.56152742707533,23444.976555023448,0.0,10816,1,23445.0,2438280.0,104.0,153.11760186209813,1.0,4.224068175692096,1.3596665755260893,4.282175547469136,1.3053288873026805
